status,config_key,units,dropout,l2,learning_rate,batch_size,batch_norm,epochs_run,best_epoch,training_seconds,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,error,source,optimizer,activation,model_key
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""AdamW"", ""units"": [512, 256, 128, 64]}",512-256-128-64,0.3,1e-05,0.001,512,False,43,31,73.70236049988307,0.8558249868212968,0.8018670753796852,0.8142331635540464,0.808002808002808,0.9363920434634212,,Focused Search,AdamW,relu,512-256-128-64|AdamW|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Adam"", ""units"": [512, 256, 128, 64]}",512-256-128-64,0.3,1e-05,0.001,512,False,43,31,71.56465790001675,0.8558249868212968,0.8018670753796852,0.8142331635540464,0.808002808002808,0.9363920434634212,,Focused Search,Adam,relu,512-256-128-64|Adam|lr=0.001|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 0.0005, ""learning_rate"": 0.0005, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.3,0.0005,0.0005,512,False,80,77,67.92496969993226,0.8586715867158672,0.8150222605198909,0.8029145444255801,0.8089230988525408,0.936381136858386,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.0005|dropout=0.3|l2=0.0005|batch=512|bn=False
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Nadam"", ""units"": [512, 512, 256, 128]}",512-512-256-128,0.3,1e-05,0.0005,512,False,51,39,129.98281309986487,0.8546652609383236,0.7971873707431407,0.8180531975099038,0.8074855107883527,0.9363720430678116,,Focused Search,Nadam,relu,512-512-256-128|Nadam|lr=0.0005|dropout=0.3|l2=1e-05|batch=512|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""l2"": 0.0005, ""learning_rate"": 0.0005, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.1,0.0005,0.0005,128,False,64,56,137.4406256000511,0.8562467053241961,0.8096732772150093,0.8029145444255801,0.8062797471052071,0.9363718707018466,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.0005|dropout=0.1|l2=0.0005|batch=128|bn=False
ok,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.00025, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.3,1e-05,0.00025,128,True,75,67,196.79016870004125,0.8574064312071692,0.8054038919221616,0.8139501980758348,0.8096544929983815,0.9363519000245067,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.00025|dropout=0.3|l2=1e-05|batch=128|bn=True
ok,"{""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.00025, ""units"": [256, 128, 64]}",256-128-64,0.3,1e-05,0.00025,512,True,80,80,83.297145599965,0.8575645756457565,0.8224519940915805,0.7877758913412564,0.8047405694464518,0.9363443456403108,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.00025|dropout=0.3|l2=1e-05|batch=512|bn=True
ok,"{""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 0.0, ""learning_rate"": 0.0005, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.3,0.0,0.0005,512,True,80,73,87.94680289993994,0.8559304164470216,0.8017541417235139,0.8147990945104697,0.8082239842818048,0.936318978125166,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.0005|dropout=0.3|l2=0.0|batch=512|bn=True
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.4, ""l2"": 0.0, ""learning_rate"": 0.001, ""units"": [128, 64, 32]}",128-64-32,0.4,0.0,0.001,128,False,73,65,114.27059949981049,0.8593041644702162,0.8194625998547567,0.7982456140350878,0.8087149716906759,0.9362768197875556,,Broad Search,Adam,relu,128-64-32|Adam|lr=0.001|dropout=0.4|l2=0.0|batch=128|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.2, ""l2"": 0.0005, ""learning_rate"": 0.00025, ""units"": [256, 128, 64]}",256-128-64,0.2,0.0005,0.00025,128,False,80,80,152.5670390999876,0.859409594095941,0.8287763334827432,0.784804753820034,0.8061914105079573,0.9362708523589698,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.00025|dropout=0.2|l2=0.0005|batch=128|bn=False
ok,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""units"": [256, 128, 64]}",256-128-64,0.3,1e-05,0.001,128,False,51,43,101.9647466999013,0.8580917237743806,0.8140068886337543,0.8024900962082626,0.8082074665146766,0.9362457939138316,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.001|dropout=0.3|l2=1e-05|batch=128|bn=False
ok,"{""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.2, ""l2"": 0.0001, ""learning_rate"": 0.001, ""units"": [128, 64]}",128-64,0.2,0.0001,0.001,512,True,68,60,54.326015499886125,0.8609910384818134,0.8280764104842292,0.7911714770797963,0.8092033861515086,0.936218417443645,,Broad Search,Adam,relu,128-64|Adam|lr=0.001|dropout=0.2|l2=0.0001|batch=512|bn=True
ok,"{""batch_norm"": false, ""batch_size"": 256, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""units"": [256, 128, 64, 32]}",256-128-64-32,0.3,1e-05,0.0005,256,False,69,61,88.56770669994876,0.8562467053241961,0.8120776419841841,0.7990945104697227,0.8055337659559295,0.936214993898958,,Broad Search,Adam,relu,256-128-64-32|Adam|lr=0.0005|dropout=0.3|l2=1e-05|batch=256|bn=False
ok,"{""batch_norm"": true, ""batch_size"": 512, ""dropout"": 0.2, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""units"": [256, 128, 64]}",256-128-64,0.2,1e-05,0.0005,512,True,52,44,55.0932261000853,0.8580917237743806,0.8236686390532545,0.7877758913412564,0.8053225339890078,0.9362109700452204,,Broad Search,Adam,relu,256-128-64|Adam|lr=0.0005|dropout=0.2|l2=1e-05|batch=512|bn=True
