threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.381,0.8390089615181866,0.751629889669007,0.8481890209394454,0.7969954799255518,0.9276296056542503,9921,1981,1073,5995
0.382,0.8392725355824987,0.7522912743251726,0.8477645727221279,0.7971795383489656,0.9276296056542503,9929,1973,1076,5992
0.383,0.8394306800210859,0.752828765401056,0.8471986417657046,0.797230728265211,0.9276296056542503,9936,1966,1080,5988
0.384,0.8394833948339483,0.753114382785957,0.8467741935483871,0.7972027972027972,0.9276296056542503,9940,1962,1083,5985
0.385,0.8396415392725356,0.7534626038781164,0.8466327108092813,0.7973351099267155,0.9276296056542503,9944,1958,1084,5984
0.386,0.8397996837111228,0.7538112637016505,0.8464912280701754,0.7974675108297234,0.9276296056542503,9948,1954,1085,5983
0.387,0.8397996837111228,0.7540673477109345,0.8459252971137521,0.7973594718943788,0.9276296056542503,9952,1950,1089,5979
0.388,0.8399578281497101,0.7547384382107657,0.8450764006791172,0.7973568281938326,0.9276296056542503,9961,1941,1095,5973
0.389,0.8401686874011597,0.7551201011378003,0.8450764006791172,0.7975697689945253,0.9276296056542503,9965,1937,1095,5973
0.39,0.8400105429625725,0.7552208581192255,0.8442275042444821,0.7972476451332754,0.9276296056542503,9968,1934,1101,5967
0.391,0.8405376910911966,0.7565680923975123,0.8433786078098472,0.7976182511540777,0.9276296056542503,9984,1918,1107,5961
0.392,0.840959409594096,0.7574679039023771,0.8430956423316356,0.7979912956143288,0.9276296056542503,9994,1908,1109,5959
0.393,0.8409066947812335,0.7576335877862596,0.8425297113752123,0.7978295819935691,0.9276296056542503,9997,1905,1113,5955
0.394,0.840959409594096,0.757992612406063,0.8419637804187889,0.7977746497754541,0.9276296056542503,10002,1900,1117,5951
0.395,0.841222983658408,0.7586734693877552,0.8415393322014714,0.7979608264019319,0.9276296056542503,10010,1892,1120,5948
0.396,0.8411702688455456,0.7587747287811104,0.8411148839841539,0.7978259410856875,0.9276296056542503,10012,1890,1123,5945
0.397,0.8411175540326832,0.7592734714760808,0.8398415393322015,0.797527878543598,0.9276296056542503,10020,1882,1132,5936
0.398,0.8411702688455456,0.7596363170700474,0.8392756083757782,0.7974726087248774,0.9276296056542503,10025,1877,1136,5932
0.399,0.8411175540326832,0.7598051781594463,0.8387096774193549,0.7973100201748486,0.9276296056542503,10028,1874,1140,5928
0.4,0.8414338429098577,0.7603899435608004,0.8387096774193549,0.7976318622174381,0.9276296056542503,10034,1868,1140,5928
0.401,0.8414338429098577,0.7607913669064749,0.8378607809847198,0.7974683544303798,0.9276296056542503,10040,1862,1146,5922
0.402,0.8413811280969953,0.7609618104667609,0.8372948500282965,0.7973054900639946,0.9276296056542503,10043,1859,1150,5918
0.403,0.8414338429098577,0.7613285272914521,0.8367289190718732,0.7972499325963872,0.9276296056542503,10048,1854,1154,5914
0.404,0.8418028465998946,0.7622855668773378,0.8361629881154499,0.797517036637204,0.9276296056542503,10059,1843,1158,5910
0.405,0.8420137058513443,0.7630864676231097,0.8353140916808149,0.7975683890577507,0.9276296056542503,10069,1833,1164,5904
0.406,0.8420664206642067,0.7635257571835361,0.8346066779852858,0.7974854670812491,0.9276296056542503,10075,1827,1169,5899
0.407,0.842488139167106,0.76431718061674,0.8346066779852858,0.797916948464764,0.9276296056542503,10083,1819,1169,5899
0.408,0.8426462836056932,0.7648203398624984,0.8341822297679683,0.7979968870542059,0.9276296056542503,10089,1813,1172,5896
0.409,0.8425408539799684,0.7652411282984531,0.8329088851160158,0.7976424361493124,0.9276296056542503,10096,1806,1181,5887
0.41,0.8422772799156563,0.7651574290918554,0.8320599886813809,0.7972075369391352,0.9276296056542503,10097,1805,1187,5881
0.411,0.8423827095413812,0.7655639489450378,0.8316355404640634,0.7972331479723315,0.9276296056542503,10102,1800,1190,5878
0.412,0.8425935687928308,0.7660323253388946,0.8314940577249575,0.7974219810040706,0.9276296056542503,10107,1795,1191,5877
0.413,0.8426462836056932,0.7663405088062623,0.8310696095076401,0.7973936061901853,0.9276296056542503,10111,1791,1194,5874
0.414,0.8426989984185557,0.7667886072641756,0.8303621958121109,0.7973101480777068,0.9276296056542503,10117,1785,1199,5869
0.415,0.8425408539799684,0.7669763181996598,0.8293718166383701,0.7969546597783971,0.9276296056542503,10121,1781,1206,5862
0.416,0.842488139167106,0.7673656618610747,0.8283814374646293,0.7967070349707444,0.9276296056542503,10127,1775,1213,5855
0.417,0.8423827095413812,0.7675150879034374,0.8276740237691002,0.7964601769911505,0.9276296056542503,10130,1772,1218,5850
0.418,0.8425935687928308,0.7681292695743562,0.8272495755517827,0.7965940054495912,0.9276296056542503,10137,1765,1221,5847
0.419,0.8428571428571429,0.7687047994740303,0.8271080928126768,0.7968377291624071,0.9276296056542503,10143,1759,1222,5846
